"","equipment","manufacturer","engine_type","engines_amount","takeoff_max_weight..Lbs.","seatings_amount","year_manufacture","registration_category","registration_aviation","operation_phase","type_operation","fu","occuence_year","classification"
"42","AIRPLANE","BOEING COMPANY","JET",2,137998,153,1998,"TPR","REGULAR","LANDING","REGULAR","DF",2006,"SERIOUS INCIDENT"
"43","AIRPLANE","EMBRAER","TURBOPROP",2,26433,34,1988,"TPP","PRIVATE","LANDING","PRIVATE","PR",2006,"SERIOUS INCIDENT"
"44","AIRPLANE","AERO BOERO","PISTON",1,1860,2,1990,"PRI","INSTRUCTION","UNKNOWN","INSTRUCTION","RS",2006,"SERIOUS INCIDENT"
"45","AIRPLANE","LEARJET","JET",2,15000,7,1970,"TPP","PRIVATE","UNKNOWN","PRIVATE","PR",2006,"SERIOUS INCIDENT"
"46","HELICOPTER","EUROCOPTER DEUTSCHLAND","TURBOSHAFT",2,5511,6,1988,"TPX","AEROTAXI","UNKNOWN","AEROTAXI","AM",2006,"SERIOUS INCIDENT"
"47","AIRPLANE","BEECH AIRCRAFT","TURBOPROP",2,9649,10,1983,"TPX","AEROTAXI","UNKNOWN","AEROTAXI","SP",2006,"SERIOUS INCIDENT"
"48","AIRPLANE","AERO BOERO","PISTON",1,1697,3,1992,"PRI","INSTRUCTION","UNKNOWN","INSTRUCTION","MG",2006,"SERIOUS INCIDENT"
"49","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,3800,6,1974,"TPX","AEROTAXI","FINAL APPROXIMATION","AEROTAXI","MG",2006,"ACCIDENT"
"50","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,3399,7,1980,"TPX","AEROTAXI","ASCENSION","AEROTAXI","PA",2006,"ACCIDENT"
"51","HELICOPTER","HELIBRAS","TURBOSHAFT",1,4299,6,1990,"TPX","AEROTAXI","RUSH IN THE AIR","AEROTAXI","PA",2006,"ACCIDENT"
"52","AIRPLANE","CESSNA AIRCRAFT","TURBOPROP",1,8359,11,2004,"TPP","PRIVATE","LANDING","PRIVATE","AM",2006,"ACCIDENT"
"53","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,3600,7,1984,"TPX","AEROTAXI","UNKNOWN","AEROTAXI","AM",2006,"ACCIDENT"
"54","HELICOPTER","BELL HELICOPTER","TURBOSHAFT",1,3198,5,1982,"TPX","AEROTAXI","UNKNOWN","AEROTAXI","RJ",2006,"SERIOUS INCIDENT"
"55","GLIDER","LET AIRCRAFT INDUSTRIES","WITHOUT TRACTION",0,1122,2,1993,"PRI","INSTRUCTION","FINAL STRETCH","INSTRUCTION","GO",2006,"SERIOUS INCIDENT"
"56","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,3968,1,2003,"SAE-AG","AGRICULTURAL","UNKNOWN","AGRICULTURAL","AL",2006,"ACCIDENT"
"57","AIRPLANE","PIPER AIRCRAFT","PISTON",2,4567,7,1980,"TPP","PRIVATE","UNKNOWN","PRIVATE","GO",2006,"SERIOUS INCIDENT"
"58","AIRPLANE","XAVANTE","PISTON",1,1851,2,1975,"PRI","INSTRUCTION","UNKNOWN","INSTRUCTION","GO",2006,"SERIOUS INCIDENT"
"59","AIRPLANE","EMBRAER","PISTON",2,4570,7,1982,"TPX","AEROTAXI","UNKNOWN","AEROTAXI","AM",2006,"SERIOUS INCIDENT"
"60","HELICOPTER","HELIBRAS","TURBOSHAFT",1,4960,6,1999,"TPP","PRIVATE","CRUISE","PRIVATE","SP",2006,"ACCIDENT"
"61","AIRPLANE","CESSNA AIRCRAFT","PISTON",1,3999,6,1982,"TPP","PRIVATE","RUSH ON THE GROUND","PRIVATE","AM",2006,"ACCIDENT"
"62","AIRPLANE","EMBRAER","PISTON",2,4570,6,1980,"TPX","AEROTAXI","UNKNOWN","AEROTAXI","MG",2006,"ACCIDENT"
"63","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,2550,4,1985,"TPP","PRIVATE","LANDING","PRIVATE","BA",2006,"ACCIDENT"
"64","AIRPLANE","AERO BOERO","PISTON",1,1697,2,1992,"TPP","PRIVATE","UNKNOWN","PRIVATE","SC",2006,"SERIOUS INCIDENT"
"65","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",2,4750,6,1994,"TPR","REGULAR","UNKNOWN","REGULAR","MS",2006,"SERIOUS INCIDENT"
"66","AIRPLANE","CESSNA AIRCRAFT","PISTON",2,5299,6,1972,"TPX","AEROTAXI","RUN AFTER LANDING","AEROTAXI","PA",2006,"SERIOUS INCIDENT"
"67","AIRPLANE","CESSNA AIRCRAFT","UNKNOWN",0,0,0,0,"EXT","UNKNOWN","TAKEOFF","UNKNOWN","RO",2006,"ACCIDENT"
"68","AIRPLANE","AERO BOERO","PISTON",1,1697,2,1992,"PRI","INSTRUCTION","TAKEOFF","INSTRUCTION","MG",2006,"ACCIDENT"
"69","AIRPLANE","FOKKER","JET",2,97995,115,1992,"TPR","REGULAR","ASCENSION","REGULAR","SP",2006,"SERIOUS INCIDENT"
"70","HELICOPTER","ROBINSON HELICOPTER","PISTON",1,2400,4,2000,"TPP","PRIVATE","UNKNOWN","PRIVATE","SP",2006,"ACCIDENT"
"71","AIRPLANE","AERO BOERO","PISTON",1,1860,2,1992,"PRI","INSTRUCTION","TAKEOFF","INSTRUCTION","PR",2006,"ACCIDENT"
"72","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,3600,7,1989,"TPX","AEROTAXI","TAKEOFF","AEROTAXI","RR",2006,"ACCIDENT"
"73","AIRPLANE","BOEING COMPANY","JET",2,0,0,1990,"EXT","UNKNOWN","UNKNOWN","UNKNOWN","RJ",2006,"SERIOUS INCIDENT"
"74","HELICOPTER","HELIBRAS","TURBOSHAFT",1,4299,6,0,"PIN","INSTRUCTION","UNKNOWN","INSTRUCTION","SP",2006,"SERIOUS INCIDENT"
"75","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,2751,4,1979,"TPP","PRIVATE","RUN AFTER LANDING","PRIVATE","PA",2006,"ACCIDENT"
"76","AIRPLANE","CESSNA AIRCRAFT","PISTON",2,5299,6,1974,"TPP","PRIVATE","TAKEOFF","PRIVATE","PI",2006,"ACCIDENT"
"77","HELICOPTER","BELL HELICOPTER","TURBOSHAFT",1,3198,5,1968,"TPX","AEROTAXI","TAKEOFF","AEROTAXI","MA",2006,"ACCIDENT"
"78","AIRPLANE","AEROSPATIALE AND ALENIA","TURBOPROP",2,37258,50,1988,"TPR","REGULAR","UNKNOWN","REGULAR","PR",2006,"SERIOUS INCIDENT"
"79","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,3399,7,1976,"TPX","AEROTAXI","UNKNOWN","AEROTAXI","MA",2006,"ACCIDENT"
